k ,1dse     ,2dse     ,ci       ,cr
1,13.121729,1.970325,11.151404,0.849843
2,13.181603,4.198164,8.983439,0.681513
3,13.199776,4.963482,8.236294,0.623972
4,13.20942,5.686465,7.522956,0.569514
5,13.215383,6.26519,6.950192,0.525917
6,13.219051,6.690753,6.528298,0.493855
7,13.221031,7.317285,5.903747,0.446542
8,13.223026,7.66961,5.553416,0.419981
9,13.223983,8.1534,5.070583,0.383438
10,13.224914,8.530915,4.693999,0.354936
11,13.22562,8.786987,4.438633,0.335609
12,13.226153,8.967179,4.258975,0.322012
13,13.226599,9.131749,4.09485,0.309592
14,13.226935,9.288653,3.938282,0.297747
15,13.226979,9.50003,3.726949,0.281769
16,13.227092,9.640607,3.586485,0.271147
17,13.227213,9.833106,3.394107,0.2566
18,13.227287,9.904623,3.322664,0.251198
19,13.227308,9.916362,3.310945,0.250311
20,13.227315,9.996768,3.230547,0.244233
21,13.227191,10.071642,3.155549,0.238565
22,13.227166,10.134788,3.092378,0.23379
23,13.227149,10.260042,2.967108,0.22432
24,13.227042,10.28234,2.944702,0.222627
25,13.22692,10.478367,2.748554,0.2078
26,13.226882,10.427568,2.799314,0.211638
27,13.226793,10.495431,2.731363,0.206502
28,13.226742,10.512073,2.714668,0.205241
29,13.226685,10.519717,2.706967,0.20466
30,13.226602,10.556583,2.670019,0.201867
