k,1dse,2dse,di,ndi
1,11.751299,1.991195,9.760104,0.830555
2,11.810518,3.959284,7.851234,0.664766
3,11.830819,4.674327,7.156492,0.604903
4,11.839178,5.348263,6.490915,0.548257
5,11.842892,5.740758,6.102134,0.515257
6,11.846332,6.190839,5.655493,0.477405
7,11.848079,6.636468,5.211611,0.43987
8,11.849786,6.986394,4.863392,0.41042
9,11.850863,7.333851,4.517012,0.381155
10,11.852032,7.609075,4.242957,0.357994
11,11.852347,7.791779,4.060567,0.342596
12,11.85247,8.04847,3.804,0.320946
13,11.852532,8.130942,3.72159,0.313991
14,11.852652,8.353627,3.499025,0.29521
15,11.852635,8.47812,3.374515,0.284706
16,11.852294,8.543816,3.308478,0.279142
17,11.852209,8.595681,3.256528,0.274761
18,11.852071,8.695575,3.156496,0.266324
19,11.85179,8.721354,3.130436,0.264132
20,11.851766,8.728859,3.122907,0.263497
21,11.851684,8.852798,2.998887,0.253035
22,11.851428,8.901141,2.950287,0.248939
23,11.851322,8.924218,2.927105,0.246985
24,11.851186,9.004077,2.847109,0.240238
25,11.850916,9.062902,2.788015,0.235257
26,11.850538,9.072159,2.778379,0.234452
27,11.850323,9.093964,2.756359,0.232598
28,11.850191,9.099717,2.750474,0.232104
29,11.849852,9.131016,2.718836,0.22944
30,11.849616,9.138593,2.711023,0.228786
