k,1dse,2dse,di,ndi
1,10.136826,2.024647,8.112179,0.800268
2,10.194642,3.756917,6.437725,0.631481
3,10.214014,4.30826,5.905753,0.578201
4,10.221941,4.785065,5.436875,0.531883
5,10.224297,5.146565,5.077732,0.496634
6,10.226592,5.569636,4.656956,0.455377
7,10.226856,5.820236,4.40662,0.430887
8,10.227318,6.11251,4.114808,0.402335
9,10.227167,6.332903,3.894264,0.380776
10,10.226522,6.493779,3.732743,0.365006
11,10.226644,6.726397,3.500247,0.342267
12,10.226257,6.823008,3.403249,0.332795
13,10.226125,7.018145,3.20798,0.313704
14,10.225453,7.129068,3.096385,0.302812
15,10.224954,7.114569,3.110385,0.304196
16,10.22452,7.356923,2.867598,0.280463
17,10.224001,7.396417,2.827584,0.276563
18,10.223712,7.394465,2.829248,0.276734
19,10.222925,7.405461,2.817465,0.275603
20,10.222394,7.525364,2.69703,0.263835
21,10.221791,7.470921,2.75087,0.269118
22,10.221088,7.508245,2.712844,0.265416
23,10.220542,7.620159,2.600383,0.254427
24,10.219682,7.534856,2.684825,0.262711
25,10.218569,7.737691,2.480877,0.242781
26,10.217774,7.687992,2.529782,0.247586
27,10.21695,7.776577,2.440372,0.238855
28,10.215994,7.88922,2.326774,0.227758
29,10.215337,7.783851,2.431486,0.238023
30,10.214491,7.891134,2.323357,0.227457
