t1  ,1dse     ,2dse    ,di       ,ndi
0.1 ,16.344819,3.558750,12.786070,0.782270
0.2 ,16.435835,3.950077,12.485757,0.759667
0.3 ,16.591521,4.755777,11.835744,0.713361
0.4 ,16.725536,5.431481,11.294055,0.675258
0.5 ,16.823151,5.910600,10.912551,0.648663
0.6 ,16.892870,6.253905,10.638965,0.629790
0.7 ,16.943778,6.529453,10.414325,0.614640
0.8 ,16.982131,6.751914,10.230216,0.602411
0.9 ,17.011919,6.931087,10.080833,0.592575
1.0 ,17.035687,7.101917,9.933770 ,0.583115
1.5 ,17.106800,7.761649,9.345151 ,0.546283
2.0 ,17.142642,8.225685,8.916957 ,0.520162
3.0 ,17.178957,8.784973,8.393984 ,0.488620
4.0 ,17.197009,9.103267,8.093742 ,0.470648
5.0 ,17.207494,9.308748,7.898746 ,0.459029
6.0 ,17.214162,9.448216,7.765946 ,0.451137
10.0,17.225989,9.787894,7.438095 ,0.431795
